Episode,TotalSteps,Score
1,99,-135.75392652104554
2,243,-642.832462306754
3,329,-606.3150603596595
4,406,-602.9921546520745
5,489,-641.6141497553973
6,704,-655.4074022144447
7,827,-683.4417986675841
8,915,-664.209588889196
9,1046,-665.4867858981513
10,1123,-673.3705483057622
11,1218,-679.4291417419204
12,1290,-595.435468616471
13,1408,-835.0452625584163
14,1558,-758.5967162057486
15,1621,-797.7498603756047
16,1727,-927.1298465608568
17,1890,-690.9737327524149
18,1981,-825.6301084784473
19,2096,-884.7052838871984
20,2223,-738.6639465859821
21,2307,-864.6852942765752
22,2531,-520.4371053752537
23,2712,-786.2371785847661
24,2866,-492.86872652095036
25,2956,-639.6712395935833
26,3175,-331.4287372375274
27,3309,-259.5575580430007
28,3370,-350.84279786334247
29,3448,-309.58426668318305
30,3597,-312.87078698651663
31,3782,-247.36612035442968
32,3878,-167.866510885748
33,4049,-248.1448482660871
34,4190,-279.45358150141345
35,4327,-243.84769914246644
36,4511,-250.9237395005523
37,4669,-260.4299038937389
38,4953,-241.15683557757984
39,5101,-272.7965912847211
40,5303,-246.78557007445525
41,5434,-252.23602539620748
42,5699,-280.00728903365865
43,5896,-275.2537573485448
44,6039,-220.69815362856852
45,6287,-213.30273985336763
46,6484,-199.9471618142067
47,6600,-185.97193424620798
48,6739,-186.08872142116502
49,6921,-170.29731673045586
50,7075,-144.36736455421425
51,7324,-151.9054011790488
52,7616,-265.59501954710544
53,7788,-145.83653445499166
54,8054,-143.19778230036886
55,8462,-203.76384055493068
56,8584,-221.12668727540685
57,8722,-161.12528958152066
58,8858,-183.11891964815058
59,9185,-115.9298821836274
60,9378,-136.25762676921667
61,9643,-158.32883982929692
62,9995,-161.52286449719506
63,10151,-124.52399232516173
64,11001,-168.40886510255987
65,11163,-202.13880173612728
66,11281,-219.93180019378298
67,11426,-247.35076357698878
68,11857,-278.85129330064683
69,11940,-314.2023242347569
70,12147,-277.81684060581824
71,12375,-200.11004273946673
72,12586,-285.07759110550086
73,12779,-214.437430713847
74,12865,-214.09959907768146
75,13073,-322.0243300375716
76,13511,-345.8405042548637
77,14355,-142.01452977735676
78,14461,-204.40666801746812
79,14723,-201.73218202628132
80,15170,-159.37697459682877
81,15379,-180.18374704164412
82,15510,-183.5480227339609
83,15640,-224.4399856673871
84,16226,-130.874815279253
85,16391,-289.7223811217971
86,16604,-110.47335301765621
87,16781,-55.7715163449115
88,17066,-128.0649653894867
89,17156,-128.881822917987
90,17210,-129.4475985690325
91,17286,-133.56843174064232
92,17348,-123.44833234037422
93,17417,-132.68418179989396
94,17496,-131.8111153197732
95,17558,-126.4654496064946
96,17621,-132.60875928090337
97,17672,-130.27890274805685
98,17738,-137.06895180572045
99,17792,-131.01015620322372
100,17861,-134.23285515635445
101,17931,-123.5452155856089
102,17999,-128.25248084490823
103,18081,-131.1206563443078
104,18157,-131.12418979236898
105,18229,-124.65259051799188
106,18288,-131.43850339223394
107,18341,-130.65612380192718
108,18393,-134.38130160538725
109,18446,-128.8113766485559
110,18523,-131.56252758228516
111,18609,-137.47287374122385
112,18673,-135.13479683295796
113,18741,-140.70121869705392
114,18826,-136.2158347105012
115,18914,-130.85496614665936
116,18971,-133.6230124355757
117,19037,-133.02007248535304
118,19122,-119.15358692794327
119,19207,-138.17503906241316
120,19285,-132.03353779212472
121,19347,-135.85497225035675
122,19422,-136.86439308697356
123,19498,-139.25657595228472
124,19584,-131.52998014328858
125,19664,-134.07540205474623
126,19742,-126.46696966160431
127,19800,-128.0680227058058
128,19869,-131.72858865185665
129,19957,-132.607858519853
130,20027,-136.96227405795375
131,20105,-133.98511755958972
132,20189,-128.05228941926862
133,20268,-139.02857522737204
134,20353,-132.79881873086345
135,20427,-134.28717770415045
136,20486,-133.8247933941543
137,20553,-126.91411376181553
138,20605,-126.6580412646102
139,20693,-128.58413213682007
140,20776,-135.48024389019452
141,20848,-136.99860498120947
142,20940,-135.0643265010624
143,21004,-126.63093606550196
144,21072,-132.9111941486269
145,21137,-130.6132132066915
146,21190,-132.49752793582647
147,21255,-131.69701178376562
148,21326,-138.04910524530933
149,21403,-135.2296600983089
150,21459,-133.78162939715878
151,21529,-134.07349447588828
152,21611,-130.38503724413027
153,21685,-130.20473784473594
154,21771,-123.5506098701407
155,21837,-136.99187089554877
156,21890,-131.0083798792224
157,21950,-137.09101963989409
158,22018,-130.98154817350877
159,22079,-131.4872202598872
160,22145,-136.34538582214597
161,22218,-134.44170082929702
162,22271,-130.46388662163253
163,22342,-128.4459885299342
164,22400,-130.52635946282692
165,22464,-136.11773161792868
166,22523,-132.60709906441
167,22579,-135.22776949865158
168,22646,-127.65874589245571
169,22721,-124.89964169252534
170,22801,-135.46797533270774
171,22878,-136.83432820871846
172,22968,-134.19960969340048
173,23025,-125.96332838212662
174,23098,-129.94271380467734
175,23158,-135.06881955793156
176,23212,-127.15399752008604
177,23280,-133.15456970853938
178,23364,-135.10687149534257
179,23448,-131.1940868279922
180,23519,-134.5344529840581
181,23581,-125.64555636791343
182,23652,-125.76658828907038
183,23719,-120.02685016424142
184,23795,-127.39473964604035
185,23847,-135.51548801072525
186,23901,-131.71342013019944
187,23957,-139.42095274663757
188,24033,-127.36389726762238
189,24106,-127.20675201506481
190,24179,-128.6630659492074
191,24245,-126.20806785852247
192,24314,-132.3201289498735
193,24377,-124.92442101687216
194,24440,-130.32298036282356
195,24502,-134.14641871400784
196,24564,-133.78411082699233
197,24632,-140.27339277310452
198,24704,-128.01886471959327
199,24758,-129.90504447541878
200,24831,-130.31495405963273
201,24898,-127.85216452501895
202,24963,-129.3539731857909
