Episode,TotalSteps,Score
1,321,-2.771589556254361
2,792,-0.03814485896752348
3,1329,-0.0015900777727145296
4,1426,-0.011201303011913162
5,1740,-0.0018406170371226419
6,2517,-0.00013596322533389942
7,2734,-0.015647105671846302
8,2850,-0.004457959305615119
9,3114,-0.0023284789210192185
10,3231,-0.008119475884175742
11,3363,-0.00034312957591636816
12,3960,-0.02687071975205771
13,4074,-0.009900388945104142
14,4361,-0.050306201463987385
15,4501,-0.03399319710554945
16,4713,-0.1004330244496931
17,5037,-0.05625477126456138
18,5251,-0.017000022558562252
19,5478,54.873532263955525
20,5669,18.425528169966157
21,6096,1.8736108003546215
22,6612,-0.08495164234050578
23,6972,-1.6215594683734695
24,7101,-0.33905220252832413
25,7358,26.834747950193346
26,7719,95.89480205158378
27,7856,92.56549521812623
28,8119,93.40587593196732
29,8271,92.87710651988827
30,8404,92.74509817911581
31,8563,92.32109405799184
32,8642,92.25906387434159
33,8783,92.33221600210824
34,8923,92.76994464984047
35,9001,92.63236327593711
36,9147,92.23023965864621
37,9307,92.47519775989957
38,9451,92.87432200631396
39,9529,92.80460404108939
40,9669,92.35988125016736
41,9811,92.39890657216894
42,9892,92.15538847031203
43,10021,92.26700090873943
44,10191,92.18243057538639
45,10295,91.93585361472329
46,10423,91.98765022518255
47,10639,92.11485115616141
48,10790,92.04264525494749
49,11018,91.96226824217445
50,11162,92.19664280802024
51,11476,92.17026238567547
52,11625,91.6997721768775
53,11740,92.10307426728774
54,11895,91.91666734717982
55,12044,91.68384904951441
56,12279,92.20447847811906
57,12409,91.63409174346103
58,12631,91.66999249512784
59,12755,91.81447094342735
60,12913,91.7493981601503
61,12987,92.11311145818283
62,13060,92.08923264703539
63,13235,92.44588838104684
64,13448,92.10584365641574
65,13616,92.49733975363989
66,13692,92.28538632461316
67,13832,91.98970993183205
68,13961,92.2236692348456
69,14108,92.20152724265243
70,14275,92.11079086868818
71,14423,91.86345562221707
72,14542,92.27893211915233
73,14637,92.7694591968664
74,14774,91.81488142882208
75,14876,92.32782573634675
76,15057,92.34750955679434
77,15209,92.05657631373514
78,15402,92.3456046322502
79,15523,92.04372237870807
80,15624,92.292585570348
81,15773,92.36655931932643
82,15861,92.11621343895436
83,15971,92.31696673289802
84,16141,92.15873276640184
85,16237,91.11745573170985
86,16414,91.1392188633694
87,16625,91.31219542868648
88,16774,91.075189274198
89,16880,91.17755251270873
90,17069,91.49021790527702
91,17231,91.13182237424313
92,17314,91.27205686754897
93,17517,91.15574813536699
94,17779,90.46563198220727
95,17987,90.49790566971927
96,18207,89.88338128168088
97,18437,88.94360403810498
98,18735,88.4940863988212
99,18836,88.76204627171461
100,19086,87.13526466198734
101,19283,87.09945479882138
102,19484,85.79866564057329
103,19858,82.13657836009334
104,19968,83.9373546036838
105,20573,-34.75375170758781
106,20754,-49.16239382156017
107,20933,-39.631453938553484
108,21356,-61.760363260158265
109,21610,-66.30189966476527
110,21805,-68.70378146248437
111,22023,-4.179050951018063
112,22449,93.4623051575216
113,22548,93.47811017978476
114,22739,93.20249567015391
115,22886,92.82923088261188
116,23077,92.37047630392507
117,23269,93.24920133604974
118,23391,93.09274620093747
119,23543,92.43895349790206
120,23626,92.65299916030317
121,23741,92.55995372560014
122,23845,92.6194629136467
123,23976,92.75540505974556
124,24099,92.68909279957177
125,24324,92.4895038493217
126,24482,92.23683553585988
127,24591,91.85909508585478
128,24710,92.57843965500061
129,24866,92.350990359351
130,25071,92.88724821080916
131,25246,93.11885841190829
132,25394,92.58769823776514
133,25565,92.21677826465668
134,25676,93.36620960161105
135,25780,93.0074776817912
136,25889,92.87122527208857
137,26037,92.80780843974395
138,26140,93.24303457752065
139,26292,93.0131847884524
140,26398,92.51128801392308
141,26496,93.4818800539052
142,26623,93.10838650956319
143,26733,93.20881568126839
144,26884,92.90980129114001
145,27011,93.00293696786711
146,27119,93.27450383970796
147,27292,93.05471438454556
148,27445,92.93659456138319
149,27551,93.51815312488782
150,27739,93.14053030761086
151,27872,92.93936515395906
152,28022,93.24262885956254
153,28166,92.86299051104307
154,28257,93.00642300716486
155,28401,92.12292106331216
156,28599,92.29112215994468
157,28788,92.38700053212746
158,28936,93.08658119851818
159,29102,92.83405856185236
160,29182,92.91183414793126
161,29277,92.82965485022774
162,29407,93.1320055114941
163,29562,93.10734331811013
164,29664,93.22526215368097
165,29789,93.21929234446186
166,29894,93.72473450894991
167,29969,93.20692603774717
168,30071,93.28063097070981
169,30153,93.41351901848252
170,30314,93.21974949262412
171,30452,93.81889065624196
172,30534,93.42792070938731
173,30705,93.94747127839656
174,30792,93.46183357279655
175,30987,93.61500738430667
176,31070,93.47926008833566
177,31221,93.9410231836023
178,31359,94.03060662753025
179,31502,94.11400117375551
180,31667,94.04170690012768
181,31742,94.21124025083385
182,31899,94.21193852914622
183,32108,94.0789429776578
184,32248,94.19162514685901
185,32402,94.15517155947195
186,32516,94.08495513948361
187,32644,93.80523943752762
188,32756,93.80449696425656
189,32845,93.60104656246604
190,32924,93.55081660778909
191,33049,93.68894676942409
192,33163,93.68654598802394
193,33247,93.88211019981541
194,33383,93.69983727836258
195,33520,93.86246094933213
196,33653,93.70983920458316
197,33732,93.7007488721044
198,33883,93.61939793802074
199,33964,93.5271502066922
200,34057,93.6846394021619
201,34183,93.57222340268974
202,34263,93.55266547347975
203,34406,93.49615551263383
204,34503,93.66160838593083
205,34651,93.46841618838953
206,34727,93.5612780359128
207,34855,93.66785250092946
208,34936,93.54022894552263
209,35012,93.48513817637141
210,35100,93.57061522795837
211,35175,93.70446455638843
212,35253,93.66332477694077
213,35336,93.71322187473501
214,35423,93.58429000535149
215,35527,93.70826588294729
216,35635,93.63053376267162
217,35747,93.71288765391702
218,35828,93.74566865435827
219,35901,93.78446785239252
220,35977,93.85589066729642
221,36060,93.84450458746456
222,36131,94.07039808277791
223,36238,93.72709881460221
224,36323,94.00194185114678
225,36463,93.87241903978078
226,36587,93.94695238831076
227,36712,93.67862506088491
228,36815,93.8081834224197
229,36931,94.03467855065232
230,37010,94.0147222739046
231,37087,94.04494902257903
232,37166,93.74954935651289
233,37241,94.11328055876155
234,37320,93.90666916029122
235,37444,93.9518574959789
236,37514,94.0492333993212
237,37586,93.9194538480878
238,37668,93.58016012655486
239,37750,93.90749000044869
240,37904,93.9685889564261
241,38039,93.75475061941755
242,38155,93.47387899771354
243,38290,93.84267367139644
244,38386,93.8490538551967
245,38471,93.88607554174821
246,38618,93.77655586365103
247,38751,93.61133119461047
248,38825,93.66033929489171
249,38925,93.72750677660095
250,39003,93.55702605748023
251,39084,93.58855646180092
252,39232,93.92962235922727
253,39309,93.83738389400096
254,39413,93.75044941096976
255,39486,93.59134396723098
256,39583,94.03763184102438
257,39687,93.46168044979868
258,39787,93.52191499085322
259,39862,93.70191678819539
260,40004,93.32459982998166
261,40081,93.53589072753338
262,40153,93.52977843093542
263,40227,93.74119629340106
264,40321,93.60271658652945
265,40407,93.51966676077613
266,40565,93.82909764637068
267,40744,93.47904828579502
268,40828,93.90574301006505
269,40938,93.79669043642636
270,41014,93.30504540067307
271,41092,93.93165104079891
272,41168,93.97686545038864
273,41248,93.78727773898247
274,41323,93.99196080028132
275,41399,93.96319282091598
276,41504,93.85920379740864
277,41646,93.89230787050508
278,41720,93.78412570765894
279,41803,93.66687982158933
280,41950,93.77050334185022
281,42021,93.71971492525218
282,42094,93.71407455323613
283,42167,93.73225743439525
284,42239,93.52915756821761
285,42321,93.66114914417864
286,42399,93.56722991324575
287,42526,93.58256676512421
288,42664,93.59287736129238
289,42739,93.71431969691871
290,42811,93.64768243305711
291,42911,93.61704983918605
292,42996,93.6106681284
293,43070,93.7042824788074
294,43157,93.59222394023476
295,43232,93.73351624880854
296,43316,93.77597120183877
297,43387,93.57315008323928
298,43479,93.63075675348318
299,43553,93.69716741308758
300,43626,93.62374551489326
301,43701,93.66470583757231
302,43781,93.8163328869287
303,43864,93.84232396775067
304,43943,93.72851891055255
305,44028,93.6964662329924
306,44119,93.79738037073189
307,44199,93.7982334489606
308,44273,93.71449430170948
309,44355,93.67542617136904
310,44433,93.87658007250246
311,44507,93.78029739283919
312,44585,93.7744480481476
313,44662,93.77565228286421
314,44733,93.80260963064288
315,44806,93.79639740831551
316,44883,93.82244566129383
317,44961,93.76096593088143
