Episode,TotalSteps,Score
1,200,-1392.4350300746062
2,400,-1539.9476186382808
3,600,-1576.4853082104676
4,800,-1487.0547441358692
5,1000,-1485.4413350049408
6,1200,-1458.6460208490535
7,1400,-1376.1488908381598
8,1600,-1086.77617257767
9,1800,-962.6547702227119
10,2000,-928.0636619560137
11,2200,-487.8343644474894
12,2400,-611.4888234920177
13,2600,-690.0228768324803
14,2800,-416.20335316210213
15,3000,-561.8612138011555
16,3200,-340.3885503846855
17,3400,-398.3716858957705
18,3600,-279.570635134002
19,3800,-375.10869747193544
20,4000,-281.148873142656
21,4200,-176.6153395558888
22,4400,-309.16115855513686
23,4600,-258.2571430232129
24,4800,-179.47346631646252
25,5000,-158.80977741223546
26,5200,-150.67393267622316
27,5400,-174.86406851345768
28,5600,-160.08377594927003
29,5800,-152.65192338509678
30,6000,-168.54990470074648
31,6200,-174.82401491711292
32,6400,-145.67525313074165
33,6600,-147.7720632486747
34,6800,-154.23054346383918
35,7000,-138.60010049769994
36,7200,-165.396103764166
37,7400,-145.95742510674657
38,7600,-147.89268677599586
39,7800,-153.0878317303204
40,8000,-144.81897025349238
41,8200,-155.76997394001108
42,8400,-139.66549829715083
43,8600,-176.71616020953948
44,8800,-150.8101267438526
45,9000,-160.6998640294534
46,9200,-156.61244462459138
47,9400,-157.13648615585325
48,9600,-173.57903021368185
49,9800,-152.3182711348018
50,10000,-143.17714614664982
51,10200,-164.01371793835867
52,10400,-155.9923581000329
53,10600,-140.9288701963874
54,10800,-141.59443042704547
55,11000,-140.13860366063892
56,11200,-160.03409146456212
57,11400,-153.61416983674812
58,11600,-186.13769022913223
59,11800,-155.633380545981
60,12000,-155.68959261072789
61,12200,-140.44089022675237
62,12400,-163.38208368935193
63,12600,-161.45200570583677
64,12800,-176.11434966606276
65,13000,-162.221558052478
66,13200,-160.29822759805782
67,13400,-152.53348592425203
68,13600,-167.91095096513692
69,13800,-161.04048539294024
70,14000,-163.65818107540326
71,14200,-174.8302185989097
72,14400,-157.46283142100467
73,14600,-154.1528160544218
74,14800,-154.6024615409093
75,15000,-147.88896532939904
76,15200,-168.34047736940767
77,15400,-137.3364390340211
78,15600,-139.27222203978238
79,15800,-149.18222972025012
80,16000,-160.46065932438057
81,16200,-157.88772306680363
82,16400,-153.43921503124864
83,16600,-152.58241089129405
84,16800,-150.6089609386541
85,17000,-168.46875358365483
86,17200,-146.09778487913084
87,17400,-147.45810594051736
88,17600,-152.01341684242922
89,17800,-160.10142968344044
90,18000,-158.44084273636324
91,18200,-167.21947090002936
92,18400,-149.12531561323868
93,18600,-159.6507291445578
94,18800,-161.42395266914184
95,19000,-170.81286012833792
96,19200,-163.23361900783132
97,19400,-164.41801637174657
98,19600,-153.90267720127864
99,19800,-145.16343013119598
100,20000,-163.17355565605428
101,20200,-151.9355262207315
